시도,범주,군구,관광지,위도,경도
경상남도,고택/생가/민속마을,거제시,도장포어촌체험마을,34.7429451,128.662673
경상남도,고택/생가/민속마을,거제시,김영삼전대통령생가기록전시관,34.93142391,128.71535188
경상남도,고택/생가/민속마을,거제시,이수도어촌체험마을,34.9679573,128.72501433
경상남도,고택/생가/민속마을,함양군,지곡개평한옥마을,35.56419303,127.76925335
경상남도,고택/생가/민속마을,거제시,쌍근어촌체험마을,34.76237728,128.58947699
경상남도,고택/생가/민속마을,함안군,애국지사산돌손양원목사기념관,35.3089936,128.520725
경상남도,고택/생가/민속마을,밀양시,평리산대추마을,35.4918819,128.86647325
경상남도,고택/생가/민속마을,거창군,가남정보화마을,35.81459278,128.1234589
경상남도,고택/생가/민속마을,거창군,하늘비단마을,35.68719549,128.03510903
경상남도,고택/생가/민속마을,거창군,숲옛마을,35.76665375,127.8711735
경상남도,고택/생가/민속마을,거창군,서변정보화마을,35.90338019,128.19962523
경상남도,고택/생가/민속마을,거창군,서변정보화마을,35.90338019,128.19962523
경상남도,고택/생가/민속마을,거창군,거기애사과마을,35.90665769,128.19764839
경상남도,고택/생가/민속마을,거창군,가남정보화마을,35.81459278,128.1234589
경상남도,고택/생가/민속마을,거창군,숲옛마을,35.76665375,127.8711735
경상남도,고택/생가/민속마을,거제시,다대어촌체험마을,34.7381465,128.62987553
경상남도,고택/생가/민속마을,거제시,도장포어촌체험마을,34.7429451,128.662673
경상남도,고택/생가/민속마을,거제시,쌍근어촌체험마을,34.76237728,128.58947699
경상남도,고택/생가/민속마을,거제시,이수도어촌체험마을,34.9679573,128.72501433
경상남도,고택/생가/민속마을,거창군,거기애사과마을,35.90665769,128.19764839
경상남도,고택/생가/민속마을,거창군,솔향기돌담마을,35.70272396,127.89865639
경상남도,고택/생가/민속마을,거창군,솔향기돌담마을,35.70272396,127.89865639
경상남도,고택/생가/민속마을,거창군,하늘비단마을,35.68719549,128.03510903
경상남도,고택/생가/민속마을,거제시,다대어촌체험마을,34.7381465,128.62987553
경상남도,고택/생가/민속마을,거제시,이수도어촌체험마을,34.9679573,128.72501433
경상남도,고택/생가/민속마을,함양군,지곡개평한옥마을,35.56419303,127.76925335
경상남도,고택/생가/민속마을,거제시,쌍근어촌체험마을,34.76237728,128.58947699
경상남도,고택/생가/민속마을,함안군,애국지사산돌손양원목사기념관,35.3089936,128.520725
경상남도,고택/생가/민속마을,밀양시,평리산대추마을,35.4918819,128.86647325
경상남도,고택/생가/민속마을,거창군,가남정보화마을,35.81459278,128.1234589
경상남도,고택/생가/민속마을,거창군,하늘비단마을,35.68719549,128.03510903
경상남도,고택/생가/민속마을,거창군,숲옛마을,35.76665375,127.8711735
경상남도,고택/생가/민속마을,거창군,서변정보화마을,35.90338019,128.19962523
경상남도,고택/생가/민속마을,거창군,거기애사과마을,35.90665769,128.19764839
경상남도,고택/생가/민속마을,거창군,솔향기돌담마을,35.70272396,127.89865639
경상남도,국보,통영시,통제영지세병관,34.84775719,128.42324917
경상남도,국보,통영시,통제영지세병관,34.84775719,128.42324917
경상남도,국보,통영시,통제영지세병관,34.84775719,128.42324917
경상남도,보물,김해시,대성동고분박물관,35.3015602,128.82788093
경상남도,보물,김해시,대성동고분박물관,35.3015602,128.82788093
경상남도,비/탑/문/각,의령군,충익사,35.3151338392309,128.260092732816
경상남도,비/탑/문/각,밀양시,표충비각,35.4716049,128.6510203
경상남도,비/탑/문/각,의령군,충익사,35.3151338392309,128.260092732816
경상남도,비/탑/문/각,밀양시,표충비각,35.4716049,128.6510203
경상남도,서원/향교/서당,함양군,남계서원,35.5488779,127.7834669
경상남도,서원/향교/서당,함양군,남계서원,35.5488779,127.7834669
경상남도,왕릉/고분,김해시,수로왕릉,35.23938786,128.87745621
경상남도,왕릉/고분,김해시,수로왕릉,35.23938786,128.87745621
경상남도,유명사적/유적지,진주시,진주성,35.1899440998683,128.080926274222
경상남도,유명사적/유적지,진주시,진주성,35.1899440998683,128.080926274222
경상남도,유명사적/유적지,하동군,삼성궁,35.2413561040954,127.702449548887
경상남도,유명사적/유적지,밀양시,밀양영남루,35.4915149232263,128.755092260214
경상남도,유명사적/유적지,하동군,삼성궁,35.2413561040954,127.702449548887
경상남도,유명사적/유적지,통영시,한산도제승당,34.79418477,128.47190442
경상남도,유명사적/유적지,밀양시,밀양영남루,35.4915149232263,128.755092260214
경상남도,유명사적/유적지,통합창원시,창원의집,35.24448121,128.68161195
경상남도,유명사적/유적지,양산시,임경대,35.30963899,128.54245035
경상남도,유명사적/유적지,밀양시,사명대사유적지,35.49796126,128.6037811
경상남도,유명사적/유적지,통영시,통영충렬사,34.84694581,128.41758714
경상남도,유명사적/유적지,산청군,목면시배유지,35.29005098,127.95798224
경상남도,유명사적/유적지,합천군,영암사지,35.4744664294043,128.002912654898
경상남도,유명사적/유적지,함안군,고려동유적지,35.2768585076263,128.460122886343
경상남도,유명사적/유적지,통합창원시,군항문화탐방,35.1496029,128.6589307
경상남도,유명사적/유적지,진주시,진주성,35.1899440998683,128.080926274222
경상남도,유명사적/유적지,통합창원시,창원의집,35.24448121,128.68161195
경상남도,유명사적/유적지,하동군,삼성궁,35.2413561040954,127.702449548887
경상남도,유명사적/유적지,통영시,한산도제승당,34.79418477,128.47190442
경상남도,유명사적/유적지,산청군,목면시배유지,35.29005098,127.95798224
경상남도,유명사적/유적지,통영시,한산도제승당,35.92848291,128.47190442
경상남도,유명사적/유적지,통합창원시,창원의집,35.24448121,128.68161195
경상남도,유명사적/유적지,양산시,임경대,35.30963899,128.54245035
경상남도,유명사적/유적지,밀양시,사명대사유적지,35.49796126,128.6037811
경상남도,유명사적/유적지,통영시,통영충렬사,34.84694581,128.41758714
경상남도,유명사적/유적지,산청군,목면시배유지,35.29005098,127.95798224
경상남도,유명사적/유적지,합천군,영암사지,35.4744664294043,128.002912654898
경상남도,유명사적/유적지,함안군,고려동유적지,35.2768585076263,128.460122886343
경상남도,유명사적/유적지,통합창원시,군항문화탐방,35.1496029,128.6589307
경상남도,유명사찰,양산시,통도사,35.4882859366463,129.064479599974
경상남도,유명사찰,하동군,지리산쌍계사,35.23867915,127.68359358
경상남도,유명사찰,양산시,내원사,35.4243907077912,129.104084801495
경상남도,유명사찰,양산시,통도사,35.4882859366463,129.064479599974
경상남도,유명사찰,하동군,지리산쌍계사,35.23867915,127.68359358
경상남도,유명사찰,양산시,내원사,35.4243907077912,129.104084801495
경상남도,유명사찰,밀양시,표충사,35.5536219,128.9790367
경상남도,유명사찰,밀양시,표충사,35.5536219,128.9790367
경상남도,유명사찰,양산시,홍룡사,35.3971346564543,129.086303904535
경상남도,유명사찰,밀양시,만어사,35.48048274,128.70184355
경상남도,유명사찰,양산시,통도사,35.4882859366463,129.064479599974
경상남도,유명사찰,하동군,지리산쌍계사,35.23867915,127.68359358
경상남도,유명사찰,밀양시,표충사,35.5536219,128.9790367
경상남도,유명사찰,양산시,내원사,35.4243907077912,129.104084801495
경상남도,유명사찰,양산시,홍룡사,35.3971346564543,129.086303904535
경상남도,유명사찰,밀양시,만어사,35.48048274,128.70184355
경상북도,고택/생가/민속마을,안동시,하회마을,36.54814452,128.52704222
경상북도,고택/생가/민속마을,영주시,무섬마을,36.731803006453,128.621445878864
경상북도,고택/생가/민속마을,경주시,경주양동마을,35.96890827,129.24641527
경상북도,고택/생가/민속마을,구미시,박대통령생가,36.0884298,128.3490302
경상북도,고택/생가/민속마을,안동시,하회마을,36.54814452,128.52704222
경상북도,고택/생가/민속마을,영주시,무섬마을,36.731803006453,128.621445878864
경상북도,고택/생가/민속마을,경주시,경주양동마을,35.96890827,129.24641527
경상북도,고택/생가/민속마을,구미시,박대통령생가,36.0884298,128.3490302
경상북도,고택/생가/민속마을,청송군,송소고택,36.4362086926976,129.026458233035
경상북도,고택/생가/민속마을,성주군,한개마을,35.92848291,128.32595291
경상북도,고택/생가/민속마을,고령군,예마을,35.7931359,128.2129975
경상북도,고택/생가/민속마을,영덕군,괴시리전통마을,36.54240738,129.4152135
경상북도,고택/생가/민속마을,구미시,왕산허위선생기념관,36.28835857,128.42008073
경상북도,고택/생가/민속마을,안동시,하회마을,36.54814452,128.52704222
경상북도,고택/생가/민속마을,안동시,농암종택,36.7640476591253,128.885000989493
경상북도,고택/생가/민속마을,울진군,기성리어촌체험마을,36.7966467,129.457662
경상북도,고택/생가/민속마을,고령군,개실마을,35.6678139,128.22815217
경상북도,고택/생가/민속마을,안동시,안동군자마을,36.6735279,128.8025753
경상북도,고택/생가/민속마을,포항시,덕동문화마을,36.16600505,129.18519754
경상북도,고택/생가/민속마을,경주시,경주양동마을,35.96890827,129.24641527
경상북도,고택/생가/민속마을,청송군,송소고택,36.4362086926976,129.026458233035
경상북도,고택/생가/민속마을,안동시,예움터마을,36.57148856,128.76678558
경상북도,고택/생가/민속마을,김천시,옛날솜씨마을,35.89831764,128.02232718
경상북도,고택/생가/민속마을,문경시,박열의사기념관,36.39061663,128.44790436
경상북도,고택/생가/민속마을,김천시,이화만리녹색농촌체험마을,36.07150943,128.17737995
경상북도,고택/생가/민속마을,울진군,백암온천마을,36.942951,129.38911417
경상북도,고택/생가/민속마을,고령군,신리마을,35.75006129,128.2184587
경상북도,고택/생가/민속마을,구미시,박대통령생가,36.0884298,128.3490302
경상북도,고택/생가/민속마을,고령군,개실마을,35.6678139,128.22815217
경상북도,고택/생가/민속마을,안동시,예움터마을,36.57148856,128.76678558
경상북도,고택/생가/민속마을,포항시,덕동문화마을,36.16600505,129.18519754
경상북도,고택/생가/민속마을,울진군,왕피거리고마을,36.8828603,129.2775848
경상북도,고택/생가/민속마을,성주군,한개마을,35.92848291,128.32595291
경상북도,고택/생가/민속마을,고령군,신리마을,35.75006129,128.2184587
경상북도,고택/생가/민속마을,김천시,옛날솜씨마을,35.89831764,128.02232718
경상북도,고택/생가/민속마을,청송군,송소고택,36.4362086926976,129.026458233035
경상북도,고택/생가/민속마을,김천시,이화만리녹색농촌체험마을,36.07150943,128.17737995
경상북도,고택/생가/민속마을,고령군,서우재마을,35.80045893,128.17614277
경상북도,고택/생가/민속마을,성주군,한개마을,35.92848291,128.32595291
경상북도,고택/생가/민속마을,고령군,예마을,35.7931359,128.2129975
경상북도,고택/생가/민속마을,안동시,안동군자마을,36.6735279,128.8025753
경상북도,고택/생가/민속마을,구미시,왕산허위선생기념관,36.28835857,128.42008073
경상북도,고택/생가/민속마을,고령군,산주마을,35.6681855,128.1709273
경상북도,고택/생가/민속마을,고령군,산주마을,35.6681855,128.1709273
경상북도,고택/생가/민속마을,고령군,서우재마을,35.80045893,128.17614277
경상북도,고택/생가/민속마을,울진군,기성리어촌체험마을,36.7966467,129.457662
경상북도,고택/생가/민속마을,울진군,백암온천마을,36.942951,129.38911417
경상북도,고택/생가/민속마을,울진군,왕피거리고마을,36.8828603,129.2775848
경상북도,고택/생가/민속마을,고령군,예마을,35.7931359,128.2129975
경상북도,고택/생가/민속마을,영덕군,괴시리전통마을,36.54240738,129.4152135
경상북도,고택/생가/민속마을,구미시,왕산허위선생기념관,36.28835857,128.42008073
경상북도,고택/생가/민속마을,안동시,농암종택,36.7640476591253,128.885000989493
경상북도,고택/생가/민속마을,울진군,기성리어촌체험마을,36.7966467,129.457662
경상북도,고택/생가/민속마을,고령군,개실마을,35.6678139,128.22815217
경상북도,고택/생가/민속마을,안동시,안동군자마을,36.6735279,128.8025753
경상북도,고택/생가/민속마을,포항시,덕동문화마을,36.16600505,129.18519754
경상북도,고택/생가/민속마을,안동시,예움터마을,36.57148856,128.76678558
경상북도,고택/생가/민속마을,김천시,옛날솜씨마을,35.89831764,128.02232718
경상북도,고택/생가/민속마을,문경시,박열의사기념관,36.39061663,128.44790436
경상북도,고택/생가/민속마을,김천시,이화만리녹색농촌체험마을,36.07150943,128.17737995
경상북도,고택/생가/민속마을,울진군,백암온천마을,36.942951,129.38911417
경상북도,고택/생가/민속마을,고령군,신리마을,35.75006129,128.2184587
경상북도,고택/생가/민속마을,울진군,왕피거리고마을,36.8828603,129.2775848
경상북도,고택/생가/민속마을,고령군,서우재마을,35.80045893,128.17614277
경상북도,고택/생가/민속마을,고령군,산주마을,35.6681855,128.1709273
경상북도,보물,안동시,안동임청각,36.5689578,128.7580026
